ELECTORA AREA,TOWN,PRIMARY CONTACT,PROPERTY OWNER,DIVISION,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,ELECTORAL AREA,TOWN,PROPERTY ADDRESS,ACCOUNT NUMBER,VALUATION STATUS,NEW RATEABLE VALE , new rate impost ,2020 AREARS,2021 CURRENT BILL,OUTSTANDING. BALANCE,PAYMENT,BLOCK NO,PLOT NO,PROP TYPE,PROP CAT/USECODE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036001,1,6144.8,0,0,0,0,0,36,1,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036002,1,6144.8,0,0,0,0,0,36,2,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036003,1,6144.8,0,0,0,0,0,36,3,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036004,1,6144.8,0,0,0,0,0,36,4,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036005,1,6144.8,0,0,0,0,0,36,5,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036006,1,27320.2,0,0,0,0,0,36,6,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036007,1,27320.2,0,0,0,0,0,36,7,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036008,1,27320.2,0,0,0,0,0,36,8,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036009,1,27320.2,0,0,0,0,0,36,9,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036010,1,30467.5,0,0,0,0,0,36,10,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036011,1,30440.2,0,0,0,0,0,36,11,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036012,1,30440.2,0,0,0,0,0,36,12,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036013,1,23042.8,0,0,0,0,0,36,13,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036014,1,29354.9,0,0,0,0,0,36,14,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036015,1,29354.9,0,0,0,0,0,36,15,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036016,1,29354.9,0,0,0,0,0,36,16,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036017,1,29354.9,0,0,0,0,0,36,17,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036018,1,29354.9,0,0,0,0,0,36,18,EDU,FER,
