ID,PhoneNO,Account No,business name,new bsuiness type,Bus. cate,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,Suburb, 2021  Current Bill ,ACTUAL ARREARS, 2021 Outst bal. , DIVISION ,PAYMENTS
2705,20200003179,AYW14198010001,AFRICAN EXPLOSIVE LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,AIRPORT WEST,3787.2,3787.2,6206.8,14,1367.6
2706,20200003180,AYW14111011002,ASSURE ADVISORS LTD.,INSURANCE COMPANIES (LIFE INSURANCE),B,13,110,627,627,627,627,DZORWULU,2668,2668,4786,14,550
2707,20200003181,AYW13050025004,G&J COMMUNICATION LIMITED,TELECOM COMPANIES (OFFICES),C,13,110,627,627,627,627,,1100,1100,1905,13,295
2708,20200003182,AYW14009009006,UNITY IS GOOD FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,TESANO,700,700,1300,14,100
2709,20200003183,AYW14116001013,FATCOMS FOREX BUREAU LTD.,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,DZORWULU,700,700,1300,14,100
2710,20200003184,AYW13013033004,JAFA FOREX BUREAU,FOREX BUREAUX / STAND ALONE ATMS,A,13,111,632,632,632,632,,700,700,1100,13,300
2711,20200003185,AYW13117003001,EAST LEGON GUEST HOUSE,GUEST HOUSES/RESORTS,A,29,212,1046,1046,1046,1046,SHIASHIE,1400,1400,1800,13,1000
2712,20200003186,AYW13049009006,X - MEN LTD,BEAUTY COMPLEX (E.G. FC BEAUTY),B,3,30,155,155,155,155,EAST LEGON,485,485,870,13,100
2713,20200003187,AYW13108011004,PROCAL FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,EAST LEGON,700,700,1050,13,350
2714,20200003188,AYW13123001017,VICTOR ANKU-TSEDE,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,EAST LEGON,736.4,736.4,972.8,13,500
2715,20200003189,AYW14020024001,MAYAA FASHION DESIGNER,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,627,ABELENKPE,370,370,570,14,170
2716,20200003190,AYW14204001002,MARIVET VERTINARY CLINIC,PRIVATE VETINARY SERVICES,B,2,18,59,59,59,59,ROMAN RIDGE,700,700,900,14,500
2717,20200003191,AYW14153006002,GEODRILL GHANA LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,AIRPORT WEST,3787.2,3787.2,3974.4,14,3600
2718,20200003192,AYW14106014005,FELUZI WINES & LIQUOR SHOP,DISTRIBUTORS,C,13,110,627,627,627,627,DZORWULU,230,230,310,14,150
2719,20200003193,AYW13011025003,SPEEDSTER CYBER,INTERNET CAF�,C,6,61,342,342,342,342,EAST LEGON,166,166,232,13,100
2720,20200003194,AYW13010023003,JULITOM,DRINKING BAR,B,29,212,1066,1066,1066,1066,,158,158,216,13,100
2721,20200003195,AYW14153003007,COMFORT COOL AIR SSERVICE LTD.,GARAGES,D,3,24,88,91,91,91,AIRPORT WEST RES. AR,100,100,150,14,50
2722,20200003196,AYW13099017001,WINGLOW CLOTHS,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,627,EAST LEGON,370,370,400,13,340
2723,20200003197,AYW13143009001,MAHASIN GARAGES,GARAGES,B,3,24,88,89,89,89,EAST LEGON,315.6,315.6,331.2,13,300
2724,20200003198,AYW14062016001,DEKROSOFT CAFE,INTERNET CAF�,D,6,61,343,343,343,343,ABELENKPE,88,88,96,14,80
2725,20200003199,AYW14076010001,GOD IS ABLE INTERNET CAFE,INTERNET CAF�,D,6,61,343,343,343,343,ABELENKPE,88,88,96,14,80
2726,20200003200,AYW14111011001,LAWCONSORTIUM ATTONEYS,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,DZORWULU,736.4,736.4,736.8,14,736
2727,20200003201,AYW12073015002,SAMODAK,WAREHOUSE (UNBOUNDED),A,31,227,1153,1153,1153,1153,W. LANDS,2104,2104,2104,12,2104
2728,20200003202,AYW13009001001,EAST LEGON VETERINARY,PRIVATE VETINARY SERVICES,B,2,18,59,59,59,59,TRINITY COLLEGE,700,700,700,13,700
2729,20200003203,AYW13009008027,LEGAL STONE SOLICITOR,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,EAST LEGON,736.4,736.4,736.4,13,736.4
2730,20200003204,AYW13013032007,MOBACOM,MONEY TRANSFER AGENCIES,C,13,110,627,627,627,627,EAST LEGON,500,500,500,13,500
2731,20200003205,AYW13026005001,QUICK & FINE CO. LTD.,SUPERMARKETS/SHOPPING MALL,B,5,51,300,300,300,300,EAST LEGON,1213,1213,1213,13,1213
2732,20200003206,AYW13055002001,GAMERX,INTERNET CAF�,D,6,61,343,343,343,343,AMBASSADORIAL ENCLAV,88,88,88,13,88
