NO	phoneno	new accountno	new business name	new business type	CAT 1	CAT 2	CAT 3	CAT 4	CAT 5	CAT 6	new suburb	new buss category	new 2021 bill amount	acctual arrears	new outstanding amount	DIVISION	new payment
1	20200000001	AYW12100008002	KEONE LTD.	ADVERTISING COMPANIES	1	1	1	1	1	1	AIRPORT HILL RES. AR	A	1262	0	1262	12	0
2	20200000002	AYW13153006001	EXP. GHANA LTD.	ADVERTISING COMPANIES	1	1	1	1	1	1	EAST LEGON	A	1262	0	1262	13	0
3	20200000003	AYW13053001003	YEN.COM MEDIA LIMITED	ADVERTISING COMPANIES	1	1	1	1	1	1	EAST LEGON	A	1262	0	1262	13	0
4	20200000004	AYW14171026001	GLOBAL OUTDOOR SYSTEMS	ADVERTISING COMPANIES	1	1	1	1	1	1	AIRPORT HILL RES. AR	A	1262	0	1262	14	0
5	20200000005	AYW14104008006	BRAND-ZONE	ADVERTISING COMPANIES	1	1	1	1	1	1	NORTH DZORWULU	A	1262	0	1262	14	0
6	20200000006	AYW14150012001	SCANAD GHANA	ADVERTISING COMPANIES	1	1	1	1	1	1	AIRPORT WEST RES. AR	A	1262	0	1262	14	0
7	20200000007	AYW14010025001	D.D. P.	ADVERTISING COMPANIES	1	1	1	1	1	1	TESANO	A	1262	1262.4	1262	14	1262.4
8	20200000009	AYW14096009003	EEAR MULTIMEDIA LTD.	ADVERTISING COMPANIES	1	1	1	1	1	1	DZORWULU	A	1262	0	1262	14	0
9	20200000011	AYW12090004001	PUBLYCIS  WEST AFRICA LTD.	ADVERTISING COMPANIES	1	1	2	2	2	2	NORTH DZORWU	B	863	0	863	12	0
10	20200000012	AYW14091005001	REDINK AVND LTD	ADVERTISING COMPANIES	1	1	2	2	2	2	DZORWULU	B	863	0	863	14	0
11	20200000013	AYW14027034001	PUBLICIS WEST AFRICA LTD.	ADVERTISING COMPANIES	1	1	2	2	2	2	ABELENKPE	B	863	862.64	862.64	14	863
12	20200000014	AYW14176015001	OGRILVY & MATHER GHANA	ADVERTISING COMPANIES	1	1	2	2	2	2	AIRPORT WEST	B	863	0	863	14	0
13	20200000017	AYW13072022001	BRAND COMMUNICATION CTREATIVE	ADVERTISING COMPANIES	1	1	3	3	3	3	EAST LEGON	C	484	483.92	484	13	483.92
14	20200000018	AYW13076009001	SCENE CATALOQUE	ADVERTISING COMPANIES	1	1	3	3	3	3	EAST LEGON	C	484	0	484	13	0
15	20200000019	AYW14033006001	PRIMUS ADVERTISING LTD.	ADVERTISING COMPANIES	1	1	3	3	3	3	ABELENKPE	C	484	0	484	14	0
16	20200000020	AYW14166015002	CREATIVE STORM	ADVERTISING COMPANIES	1	1	3	3	3	3	AIRPORT WEST	C	484	0	484	14	0
17	20200000021	AYW14011004022	INFOCUS PUBLIC RELATIONS	ADVERTISING COMPANIES	1	1	3	3	3	3	TESANO	C	484	0	484	14	0
